,State,Year,Public Two-Year In-District Tuition and Fees,Public Four-Year In-State Tuition and Fees
363,Wyoming,2010-11,"$2,496 ","$4,409 "
364,Alaska,2011-12,,"$5,910 "
365,Alabama,2011-12,"$4,345 ","$8,669 "
366,Arkansas,2011-12,"$2,885 ","$7,210 "
367,Arizona,2011-12,"$2,331 ","$10,223 "
368,California,2011-12,"$1,212 ","$9,679 "
369,Colorado,2011-12,"$3,677 ","$8,529 "
370,Connecticut,2011-12,"$3,781 ","$9,987 "
371,District of Columbia,2011-12,,"$7,584 "
372,Delaware,2011-12,"$4,136 ","$11,310 "
373,Florida,2011-12,"$3,234 ","$6,094 "
374,Georgia,2011-12,"$3,386 ","$7,907 "
375,Hawaii,2011-12,"$3,213 ","$9,067 "
376,Iowa,2011-12,"$4,454 ","$8,193 "
377,Idaho,2011-12,"$3,024 ","$6,156 "
378,Illinois,2011-12,"$3,415 ","$12,601 "
379,Indiana,2011-12,"$3,833 ","$9,040 "
380,Kansas,2011-12,"$2,559 ","$7,498 "
381,Kentucky,2011-12,"$4,389 ","$8,640 "
382,Louisiana,2011-12,"$2,927 ","$5,684 "
383,Massachusetts,2011-12,"$5,219 ","$11,014 "
384,Maryland,2011-12,"$4,018 ","$8,626 "
385,Maine,2011-12,"$3,607 ","$10,148 "
386,Michigan,2011-12,"$3,100 ","$11,746 "
387,Minnesota,2011-12,"$5,592 ","$10,854 "
388,Missouri,2011-12,"$2,964 ","$8,327 "
389,Mississippi,2011-12,"$2,389 ","$6,147 "
390,Montana,2011-12,"$3,309 ","$6,372 "
391,North Carolina,2011-12,"$2,243 ","$6,164 "
392,North Dakota,2011-12,"$4,254 ","$7,434 "
393,Nebraska,2011-12,"$2,699 ","$7,483 "
394,New Hampshire,2011-12,"$7,285 ","$14,629 "
395,New Jersey,2011-12,"$4,454 ","$13,034 "
396,New Mexico,2011-12,"$1,624 ","$5,889 "
397,Nevada,2011-12,"$2,723 ","$6,548 "
398,New York,2011-12,"$4,608 ","$6,722 "
399,Ohio,2011-12,"$4,283 ","$10,237 "
400,Oklahoma,2011-12,"$3,276 ","$6,578 "
401,Oregon,2011-12,"$4,357 ","$8,661 "
402,Pennsylvania,2011-12,"$4,255 ","$13,094 "
403,Puerto Rico,2011-12,,"$2,831 "
404,Rhode Island,2011-12,"$3,983 ","$10,850 "
405,South Carolina,2011-12,"$4,027 ","$11,221 "
406,South Dakota,2011-12,"$5,356 ","$7,360 "
407,Tennessee,2011-12,"$3,849 ","$7,769 "
408,Texas,2011-12,"$2,210 ","$8,725 "
409,Utah,2011-12,"$3,269 ","$5,743 "
410,Virginia,2011-12,"$4,316 ","$10,331 "
411,Vermont,2011-12,"$7,064 ","$14,188 "
412,Washington,2011-12,"$4,132 ","$10,287 "
413,Wisconsin,2011-12,"$4,149 ","$8,881 "
414,West Virginia,2011-12,"$2,933 ","$5,998 "
415,Wyoming,2011-12,"$2,521 ","$4,469 "
416,Alaska,2012-13,,"$6,181 "
417,Alabama,2012-13,"$4,368 ","$9,332 "
418,Arkansas,2012-13,"$2,985 ","$7,474 "
419,Arizona,2012-13,"$2,355 ","$10,394 "
420,California,2012-13,"$1,516 ","$9,601 "
421,Colorado,2012-13,"$3,822 ","$9,019 "
422,Connecticut,2012-13,"$3,844 ","$10,295 "
423,District of Columbia,2012-13,,"$7,740 "
424,Delaware,2012-13,"$4,114 ","$11,655 "
425,Florida,2012-13,"$3,303 ","$6,662 "
426,Georgia,2012-13,"$3,542 ","$8,055 "
427,Hawaii,2012-13,"$3,309 ","$9,203 "
428,Iowa,2012-13,"$4,542 ","$8,367 "
429,Idaho,2012-13,"$3,327 ","$6,399 "
430,Illinois,2012-13,"$3,471 ","$13,001 "
431,Indiana,2012-13,"$3,911 ","$9,312 "
432,Kansas,2012-13,"$2,689 ","$7,778 "
433,Kentucky,2012-13,"$4,489 ","$9,041 "
434,Louisiana,2012-13,"$3,206 ","$6,277 "
435,Massachusetts,2012-13,"$5,464 ","$11,378 "
436,Maryland,2012-13,"$4,152 ","$8,772 "
437,Maine,2012-13,"$3,561 ","$10,004 "
438,Michigan,2012-13,"$3,250 ","$11,959 "
439,Minnesota,2012-13,"$5,737 ","$11,070 "
440,Missouri,2012-13,"$3,086 ","$8,489 "
441,Mississippi,2012-13,"$2,420 ","$6,581 "
442,Montana,2012-13,"$3,306 ","$6,576 "
443,North Carolina,2012-13,"$2,310 ","$6,625 "
444,North Dakota,2012-13,"$4,241 ","$7,486 "
445,Nebraska,2012-13,"$2,779 ","$7,676 "
446,New Hampshire,2012-13,"$7,197 ","$15,615 "
447,New Jersey,2012-13,"$4,445 ","$13,267 "
448,New Mexico,2012-13,"$1,702 ","$6,067 "
449,Nevada,2012-13,"$2,885 ","$6,827 "
450,New York,2012-13,"$4,758 ","$7,011 "
451,Ohio,2012-13,"$4,496 ","$10,437 "
452,Oklahoma,2012-13,"$3,380 ","$6,841 "
453,Oregon,2012-13,"$4,511 ","$8,881 "
454,Pennsylvania,2012-13,"$4,487 ","$13,224 "
455,Puerto Rico,2012-13,,"$2,929 "
456,Rhode Island,2012-13,"$4,220 ","$11,669 "
457,South Carolina,2012-13,"$4,539 ","$11,479 "
458,South Dakota,2012-13,"$5,842 ","$7,894 "
459,Tennessee,2012-13,"$3,909 ","$8,201 "
460,Texas,2012-13,"$2,293 ","$8,915 "
461,Utah,2012-13,"$3,365 ","$5,996 "
462,Virginia,2012-13,"$4,479 ","$10,579 "
463,Vermont,2012-13,"$7,255 ","$14,451 "
464,Washington,2012-13,"$4,533 ","$11,320 "
465,Wisconsin,2012-13,"$4,306 ","$9,285 "
466,West Virginia,2012-13,"$3,123 ","$6,288 "
467,Wyoming,2012-13,"$2,607 ","$4,571 "
468,Alaska,2013-14,,"$6,167 "
469,Alabama,2013-14,"$4,350 ","$9,599 "
470,Arkansas,2013-14,"$3,150 ","$7,599 "
471,Arizona,2013-14,"$2,445 ","$10,561 "
472,California,2013-14,"$1,493 ","$9,512 "
473,Colorado,2013-14,"$3,924 ","$9,532 "
474,Connecticut,2013-14,"$3,967 ","$10,722 "
475,District of Columbia,2013-14,,"$7,603 "
476,Delaware,2013-14,"$4,244 ","$11,798 "
477,Florida,2013-14,"$3,292 ","$6,617 "
478,Georgia,2013-14,"$3,591 ","$8,198 "
479,Hawaii,2013-14,"$3,408 ","$9,508 "
480,Iowa,2013-14,"$4,598 ","$8,213 "
481,Idaho,2013-14,"$3,874 ","$6,628 "
482,Illinois,2013-14,"$3,556 ","$13,183 "
483,Indiana,2013-14,"$3,991 ","$9,353 "
484,Kansas,2013-14,"$2,665 ","$8,099 "
485,Kentucky,2013-14,"$4,529 ","$9,117 "
486,Louisiana,2013-14,"$3,543 ","$6,922 "
487,Massachusetts,2013-14,"$5,389 ","$11,263 "
488,Maryland,2013-14,"$4,183 ","$8,886 "
489,Maine,2013-14,"$3,561 ","$9,841 "
490,Michigan,2013-14,"$3,379 ","$12,156 "
491,Minnesota,2013-14,"$5,631 ","$10,966 "
492,Missouri,2013-14,"$3,129 ","$8,481 "
493,Mississippi,2013-14,"$2,507 ","$6,879 "
494,Montana,2013-14,"$3,321 ","$6,524 "
495,North Carolina,2013-14,"$2,361 ","$6,828 "
496,North Dakota,2013-14,"$4,302 ","$7,622 "
497,Nebraska,2013-14,"$2,804 ","$7,665 "
498,New Hampshire,2013-14,"$7,057 ","$15,353 "
499,New Jersey,2013-14,"$4,470 ","$13,332 "
500,New Mexico,2013-14,"$1,692 ","$6,246 "
501,Nevada,2013-14,"$2,829 ","$6,693 "
502,New York,2013-14,"$4,840 ","$7,258 "
503,Ohio,2013-14,"$4,583 ","$10,418 "
504,Oklahoma,2013-14,"$3,446 ","$6,898 "
505,Oregon,2013-14,"$4,641 ","$9,012 "
506,Pennsylvania,2013-14,"$4,663 ","$13,415 "
507,Puerto Rico,2013-14,,"$2,004 "
508,Rhode Island,2013-14,"$4,139 ","$11,418 "
509,South Carolina,2013-14,"$4,706 ","$11,700 "
510,South Dakota,2013-14,"$5,806 ","$8,010 "
511,Tennessee,2013-14,"$3,943 ","$8,421 "
512,Texas,2013-14,"$2,310 ","$8,929 "
513,Utah,2013-14,"$3,471 ","$6,197 "
514,Virginia,2013-14,"$4,537 ","$10,863 "
515,Vermont,2013-14,"$7,430 ","$14,633 "
516,Washington,2013-14,"$4,512 ","$11,329 "
517,Wisconsin,2013-14,"$4,379 ","$9,160 "
518,West Virginia,2013-14,"$3,435 ","$6,552 "
519,Wyoming,2013-14,"$2,730 ","$4,615 "
520,Alaska,2014-15,,"$6,307 "
521,Alabama,2014-15,"$4,373 ","$9,740 "
522,Arkansas,2014-15,"$3,264 ","$7,802 "
523,Arizona,2014-15,"$2,497 ","$10,681 "
524,California,2014-15,"$1,467 ","$9,423 "
525,Colorado,2014-15,"$4,007 ","$9,538 "
526,Connecticut,2014-15,"$3,972 ","$10,938 "
527,District of Columbia,2014-15,,"$7,539 "
528,Delaware,2014-15,"$4,412 ","$11,811 "
529,Florida,2014-15,"$3,263 ","$6,508 "
530,Georgia,2014-15,"$3,698 ","$8,270 "
531,Hawaii,2014-15,"$3,588 ","$9,962 "
532,Iowa,2014-15,"$4,647 ","$8,071 "
533,Idaho,2014-15,"$3,852 ","$6,780 "
534,Illinois,2014-15,"$3,641 ","$13,142 "
535,Indiana,2014-15,"$4,293 ","$9,281 "
536,Kansas,2014-15,"$2,752 ","$8,483 "
537,Kentucky,2014-15,"$4,583 ","$9,460 "
538,Louisiana,2014-15,"$3,724 ","$7,525 "
539,Massachusetts,2014-15,"$5,454 ","$11,269 "
540,Maryland,2014-15,"$4,248 ","$8,920 "
541,Maine,2014-15,"$3,586 ","$9,806 "
542,Michigan,2014-15,"$3,470 ","$11,917 "
543,Minnesota,2014-15,"$5,530 ","$10,854 "
544,Missouri,2014-15,"$3,162 ","$8,625 "
545,Mississippi,2014-15,"$2,599 ","$7,047 "
546,Montana,2014-15,"$3,261 ","$6,463 "
547,North Carolina,2014-15,"$2,363 ","$6,856 "
548,North Dakota,2014-15,"$4,307 ","$7,720 "
549,Nebraska,2014-15,"$2,839 ","$7,537 "
550,New Hampshire,2014-15,"$6,691 ","$15,135 "
551,New Jersey,2014-15,"$4,562 ","$13,362 "
552,New Mexico,2014-15,"$1,700 ","$6,324 "
553,Nevada,2014-15,"$2,774 ","$6,603 "
554,New York,2014-15,"$4,984 ","$7,494 "
555,Ohio,2014-15,"$4,655 ","$10,363 "
556,Oklahoma,2014-15,"$3,592 ","$7,276 "
557,Oregon,2014-15,"$4,684 ","$9,179 "
558,Pennsylvania,2014-15,"$4,827 ","$13,495 "
559,Puerto Rico,2014-15,,"$2,145 "
560,Rhode Island,2014-15,"$4,058 ","$11,259 "
561,South Carolina,2014-15,"$4,770 ","$11,765 "
562,South Dakota,2014-15,"$5,861 ","$7,911 "
563,Tennessee,2014-15,"$4,055 ","$9,170 "
564,Texas,2014-15,"$2,353 ","$9,079 "
565,Utah,2014-15,"$3,562 ","$6,330 "
566,Virginia,2014-15,"$4,685 ","$11,490 "
567,Vermont,2014-15,"$7,521 ","$14,874 "
568,Washington,2014-15,"$4,413 ","$10,978 "
569,Wisconsin,2014-15,"$4,430 ","$9,011 "
570,West Virginia,2014-15,"$3,834 ","$6,870 "
571,Wyoming,2014-15,"$2,781 ","$4,773 "
572,Alaska,2015-16,,"$6,876 "
573,Alabama,2015-16,"$4,425 ","$9,996 "
574,Arkansas,2015-16,"$3,490 ","$8,085 "
575,Arizona,2015-16,"$2,538 ","$10,907 "
576,California,2015-16,"$1,459 ","$9,505 "
577,Colorado,2015-16,"$4,182 ","$9,999 "
578,Connecticut,2015-16,"$4,152 ","$11,461 "
579,District of Columbia,2015-16,,"$7,612 "
580,Delaware,2015-16,"$4,527 ","$11,976 "
581,Florida,2015-16,"$3,317 ","$6,524 "
582,Georgia,2015-16,"$3,773 ","$8,664 "
583,Hawaii,2015-16,"$3,758 ","$10,436 "
584,Iowa,2015-16,"$4,858 ","$8,080 "
585,Idaho,2015-16,"$3,971 ","$6,994 "
586,Illinois,2015-16,"$3,845 ","$13,362 "
587,Indiana,2015-16,"$4,435 ","$9,354 "
588,Kansas,2015-16,"$2,850 ","$8,660 "
589,Kentucky,2015-16,"$4,773 ","$9,812 "
590,Louisiana,2015-16,"$4,072 ","$8,339 "
591,Massachusetts,2015-16,"$5,843 ","$11,913 "
592,Maryland,2015-16,"$4,384 ","$9,399 "
593,Maine,2015-16,"$3,581 ","$9,819 "
594,Michigan,2015-16,"$3,565 ","$12,302 "
595,Minnesota,2015-16,"$5,529 ","$11,110 "
596,Missouri,2015-16,"$3,276 ","$8,773 "
597,Mississippi,2015-16,"$2,651 ","$7,331 "
598,Montana,2015-16,"$3,333 ","$6,514 "
599,North Carolina,2015-16,"$2,387 ","$7,149 "
600,North Dakota,2015-16,"$4,520 ","$7,885 "
601,Nebraska,2015-16,"$2,968 ","$7,803 "
602,New Hampshire,2015-16,"$6,679 ","$15,549 "
603,New Jersey,2015-16,"$4,718 ","$13,648 "
604,New Mexico,2015-16,"$1,698 ","$6,570 "
605,Nevada,2015-16,"$2,877 ","$6,832 "
606,New York,2015-16,"$5,234 ","$7,842 "
607,Ohio,2015-16,"$4,650 ","$10,467 "
608,Oklahoma,2015-16,"$3,741 ","$7,641 "
609,Oregon,2015-16,"$4,777 ","$9,612 "
610,Pennsylvania,2015-16,"$5,054 ","$13,737 "
611,Puerto Rico,2015-16,,"$2,165 "
612,Rhode Island,2015-16,"$4,376 ","$11,689 "
613,South Carolina,2015-16,"$4,894 ","$12,120 "
614,South Dakota,2015-16,"$6,296 ","$8,262 "
615,Tennessee,2015-16,"$4,265 ","$9,501 "
616,Texas,2015-16,"$2,383 ","$9,458 "
617,Utah,2015-16,"$3,657 ","$6,526 "
618,Virginia,2015-16,"$4,925 ","$12,122 "
619,Vermont,2015-16,"$7,723 ","$15,378 "
620,Washington,2015-16,"$4,279 ","$10,551 "
621,Wisconsin,2015-16,"$4,581 ","$9,035 "
622,West Virginia,2015-16,"$3,928 ","$7,327 "
623,Wyoming,2015-16,"$2,852 ","$5,017 "
624,Alaska,2016-17,,"$7,250 "
625,Alabama,2016-17,"$4,470 ","$10,256 "
626,Arkansas,2016-17,"$3,593 ","$8,396 "
627,Arizona,2016-17,"$2,603 ","$11,119 "
628,California,2016-17,"$1,450 ","$9,462 "
629,Colorado,2016-17,"$4,339 ","$10,464 "
630,Connecticut,2016-17,"$4,259 ","$11,983 "
631,District of Columbia,2016-17,,"$7,979 "
632,Delaware,2016-17,"$4,610 ","$12,134 "
633,Florida,2016-17,"$3,289 ","$6,464 "
634,Georgia,2016-17,"$3,835 ","$8,560 "
635,Hawaii,2016-17,"$3,910 ","$10,834 "
636,Iowa,2016-17,"$4,998 ","$8,412 "
637,Idaho,2016-17,"$4,085 ","$7,134 "
638,Illinois,2016-17,"$3,963 ","$13,671 "
639,Indiana,2016-17,"$4,535 ","$9,404 "
640,Kansas,2016-17,"$2,998 ","$9,060 "
641,Kentucky,2016-17,"$4,995 ","$10,142 "
642,Louisiana,2016-17,"$4,125 ","$9,087 "
643,Massachusetts,2016-17,"$5,931 ","$12,524 "
644,Maryland,2016-17,"$4,493 ","$9,519 "
645,Maine,2016-17,"$3,597 ","$9,854 "
646,Michigan,2016-17,"$3,649 ","$12,691 "
647,Minnesota,2016-17,"$5,467 ","$11,206 "
648,Missouri,2016-17,"$3,320 ","$8,776 "
649,Mississippi,2016-17,"$2,818 ","$7,609 "
650,Montana,2016-17,"$3,376 ","$6,542 "
651,North Carolina,2016-17,"$2,470 ","$7,323 "
652,North Dakota,2016-17,"$4,506 ","$8,025 "
653,Nebraska,2016-17,"$3,044 ","$8,030 "
654,New Hampshire,2016-17,"$6,645 ","$15,970 "
655,New Jersey,2016-17,"$4,802 ","$13,796 "
656,New Mexico,2016-17,"$1,744 ","$6,750 "
657,Nevada,2016-17,"$2,960 ","$7,029 "
658,New York,2016-17,"$5,283 ","$7,843 "
659,Ohio,2016-17,"$4,395 ","$10,485 "
660,Oklahoma,2016-17,"$4,028 ","$8,170 "
661,Oregon,2016-17,"$4,868 ","$9,907 "
662,Pennsylvania,2016-17,"$5,316 ","$14,184 "
663,Puerto Rico,2016-17,,"$2,213 "
664,Rhode Island,2016-17,"$4,339 ","$11,620 "
665,South Carolina,2016-17,"$5,070 ","$12,417 "
666,South Dakota,2016-17,"$6,400 ","$8,301 "
667,Tennessee,2016-17,"$4,335 ","$9,701 "
668,Texas,2016-17,"$2,479 ","$9,700 "
669,Utah,2016-17,"$3,724 ","$6,673 "
670,Virginia,2016-17,"$5,058 ","$12,565 "
671,Vermont,2016-17,"$7,873 ","$15,830 "
672,Washington,2016-17,"$4,276 ","$9,430 "
673,Wisconsin,2016-17,"$4,409 ","$9,087 "
674,West Virginia,2016-17,"$4,072 ","$7,620 "
675,Wyoming,2016-17,"$3,051 ","$5,142 "
676,Alaska,2017-18,,"$7,438 "
677,Alabama,2017-18,"$4,487 ","$10,530 "
678,Arkansas,2017-18,"$3,645 ","$8,553 "
679,Arizona,2017-18,"$2,606 ","$11,218 "
680,California,2017-18,"$1,430 ","$9,680 "
681,Colorado,2017-18,"$4,458 ","$10,797 "
682,Connecticut,2017-18,"$4,306 ","$12,392 "
683,District of Columbia,2017-18,,"$8,060 "
684,Delaware,2017-18,"$4,720 ","$12,267 "
685,Florida,2017-18,"$3,243 ","$6,363 "
686,Georgia,2017-18,"$3,839 ","$8,573 "
687,Hawaii,2017-18,"$3,845 ","$10,658 "
688,Iowa,2017-18,"$5,083 ","$8,759 "
689,Idaho,2017-18,"$4,045 ","$7,250 "
690,Illinois,2017-18,"$4,061 ","$13,621 "
691,Indiana,2017-18,"$4,556 ","$9,361 "
692,Kansas,2017-18,"$3,024 ","$9,227 "
693,Kentucky,2017-18,"$5,090 ","$10,302 "
694,Louisiana,2017-18,"$4,136 ","$9,302 "
695,Massachusetts,2017-18,"$6,076 ","$12,732 "
696,Maryland,2017-18,"$4,536 ","$9,575 "
697,Maine,2017-18,"$3,582 ","$9,965 "
698,Michigan,2017-18,"$3,757 ","$12,935 "
699,Minnesota,2017-18,"$5,435 ","$11,302 "
700,Missouri,2017-18,"$3,450 ","$8,875 "
701,Mississippi,2017-18,"$3,118 ","$7,988 "
702,Montana,2017-18,"$3,603 ","$6,907 "
703,North Carolina,2017-18,"$2,437 ","$7,385 "
704,North Dakota,2017-18,"$4,589 ","$8,197 "
705,Nebraska,2017-18,"$3,122 ","$8,269 "
706,New Hampshire,2017-18,"$6,845 ","$16,073 "
707,New Jersey,2017-18,"$4,870 ","$13,868 "
708,New Mexico,2017-18,"$1,755 ","$6,921 "
709,Nevada,2017-18,"$3,213 ","$7,274 "
710,New York,2017-18,"$5,332 ","$7,940 "
711,Ohio,2017-18,"$4,387 ","$10,505 "
712,Oklahoma,2017-18,"$4,173 ","$8,460 "
713,Oregon,2017-18,"$5,041 ","$10,357 "
714,Pennsylvania,2017-18,"$5,327 ","$14,437 "
715,Puerto Rico,2017-18,,"$2,167 "
716,Rhode Island,2017-18,"$4,564 ","$12,226 "
717,South Carolina,2017-18,"$5,208 ","$12,615 "
718,South Dakota,2017-18,"$6,560 ","$8,446 "
719,Tennessee,2017-18,"$4,292 ","$9,789 "
720,Texas,2017-18,"$2,547 ","$9,836 "
721,Utah,2017-18,"$3,753 ","$6,788 "
722,Virginia,2017-18,"$5,127 ","$12,820 "
723,Vermont,2017-18,"$7,980 ","$16,043 "
724,Washington,2017-18,"$4,376 ","$9,480 "
725,Wisconsin,2017-18,"$4,394 ","$8,962 "
726,West Virginia,2017-18,"$4,299 ","$7,887 "
727,Wyoming,2017-18,"$3,154 ","$5,217 "
